Running for FP6
Threshold for Lidar outliers = 0.1m.
Img Id, Detector, Descriptor, Matcher, Selector, TTCCamera, TTCLidar
Image 18,HARRIS,ORB,MAT_BF,SEL_KNN,nan,8.30978
Image 1,BRISK,BRIEF,MAT_BF,SEL_KNN,13.6181,12.5604
Image 2,BRISK,BRIEF,MAT_BF,SEL_KNN,17.6462,12.6628
Image 3,BRISK,BRIEF,MAT_BF,SEL_KNN,13.0423,16.2563
Image 4,BRISK,BRIEF,MAT_BF,SEL_KNN,14.5213,13.834
Image 5,BRISK,BRIEF,MAT_BF,SEL_KNN,19.3374,13.0305
Image 6,BRISK,BRIEF,MAT_BF,SEL_KNN,16.5694,13.3877
Image 7,BRISK,BRIEF,MAT_BF,SEL_KNN,14.2123,13.2877
Image 8,BRISK,BRIEF,MAT_BF,SEL_KNN,16.4815,13.671
Image 9,BRISK,BRIEF,MAT_BF,SEL_KNN,16.1421,14.6431
Image 10,BRISK,BRIEF,MAT_BF,SEL_KNN,15.4092,9.85736
Image 11,BRISK,BRIEF,MAT_BF,SEL_KNN,12.8176,14.9877
Image 12,BRISK,BRIEF,MAT_BF,SEL_KNN,11.8355,10.1
Image 13,BRISK,BRIEF,MAT_BF,SEL_KNN,11.2226,9.22307
Image 14,BRISK,BRIEF,MAT_BF,SEL_KNN,11.6393,10.9678
Image 15,BRISK,BRIEF,MAT_BF,SEL_KNN,9.73124,8.09422
Image 16,BRISK,BRIEF,MAT_BF,SEL_KNN,9.6813,8.81392
Image 17,BRISK,BRIEF,MAT_BF,SEL_KNN,10.3553,10.2926
Image 18,BRISK,BRIEF,MAT_BF,SEL_KNN,9.90522,8.30978
Image 1,BRISK,SIFT,MAT_BF,SEL_KNN,10.6787,12.5604
Image 2,BRISK,SIFT,MAT_BF,SEL_KNN,14.5671,12.6628
Image 3,BRISK,SIFT,MAT_BF,SEL_KNN,14.5313,16.2563
Image 4,BRISK,SIFT,MAT_BF,SEL_KNN,11.4331,13.834
Image 5,BRISK,SIFT,MAT_BF,SEL_KNN,18.3109,13.0305
Image 6,BRISK,SIFT,MAT_BF,SEL_KNN,15.0796,13.3877
Image 7,BRISK,SIFT,MAT_BF,SEL_KNN,9.88561,13.2877
Image 8,BRISK,SIFT,MAT_BF,SEL_KNN,15.5355,13.671
Image 9,BRISK,SIFT,MAT_BF,SEL_KNN,16.8336,14.6431
Image 10,BRISK,SIFT,MAT_BF,SEL_KNN,11.5926,9.85736
Image 11,BRISK,SIFT,MAT_BF,SEL_KNN,11.6152,14.9877
